Subject,StartDate,EndDate,Status,Progress,DurationSec,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,instructions1,trick,V1_FirstClick,V1_LastClick,V1_PageSubmit,V1_ClickCount,V1_r,V1_c,V2_FirstClick,V2_LastClick,V2_PageSubmit,V2_ClickCount,V2_r,V2_c,V3_FirstClick,V3_LastClick,V3_PageSubmit,V3_ClickCount,V3_r,V3_c,V4_FirstClick,V4_LastClick,V4_PageSubmit,V4ClickCount,V4_r,V4_c,Open,GL1,GL2,GL3,GL4,GL5,GL6,GL7,GL8,GL9,GL10,GL11,GL12,GL13,Ed,Gender,Gender_5_TEXT,Age
288,06/04/2019 22:20,06/04/2019 22:37,IP Address,100,1040,TRUE,06/04/2019 22:37,R_VVxK3ufUH07RWZH,,,,,45.04350281,-93.48269653,anonymous,EN,Improving,quickly,0,0,27.381,0,Declining,3,15.058,15.058,16.293,1,Improving,4,11.905,15.471,15.862,3,Improving,4,3.301,3.301,10.988,1,Declining,4,"The nature of the event being tracked is how I made my ultimate judgement about whether a thing was improving or declining.  If it was crime and there was a decrease, I perceived that as a good trend. If it was vacation days and there was an increase, likewise that was ""improving"".  I also considered the direction in which the line was going, the years and whether there was an increase or decrease in the event. ",35,15,25,25,21,Increase was the same in both intervals,25,40,10,Hertinol,Can’t say,Tiosis,5,Bachelor's degree in college (4-year),Female,,46
289,07/04/2019 03:04,07/04/2019 03:10,IP Address,100,373,TRUE,07/04/2019 03:10,R_3jeUW97ZJcIGI3S,,,,,45.66520691,-122.5214996,anonymous,EN,Improving,quickly,0,0,1.843,0,Improving,4,5.964,5.964,7.694,1,Declining,4,15.117,15.117,18.506,1,Declining,4,7.693,7.693,9.327,1,Declining,4,I don't know,35,10,25,25,20,Increase was the same in both intervals,24,40,20,Crosicol,Nopsorian,Tiosis,5,High school graduate (high school diploma or equivalent including GED),Female,,33
290,07/04/2019 09:03,07/04/2019 09:09,IP Address,100,345,TRUE,07/04/2019 09:09,R_qLAuvtcGVM0Bqg1,,,,,44.55220032,-88.07879639,anonymous,EN,Improving,quickly,0,0,3.403,0,Improving,5 (very confident),7.694,9.224,10.455,2,Declining,5 (very confident),5.063,5.063,6.13,1,Declining,5 (very confident),5.534,5.534,7.871,1,Improving,5 (very confident),I looked at the years compared to the items ,35,15,25,25,20,Increase was the same in both intervals,25,40,60,They are equal,Nopsorian,The increase was equal,5,Bachelor's degree in college (4-year),Female,,34
291,07/04/2019 12:33,07/04/2019 12:40,IP Address,100,368,TRUE,07/04/2019 12:40,R_2v6UAPE07kcD40t,,,,,38.64379883,-77.3451004,anonymous,EN,Improving,quickly,0,0,1.839,0,Improving,5 (very confident),2.834,4.081,4.989,2,Improving,4,3.592,6.168,6.954,3,Declining,4,3.327,5.768,6.59,3,Declining,5 (very confident),The values for the most pary and type of item the graph was measuriing,35,15,25,50,20,Increase was the same in both intervals,25,40,20,Crosicol,Nopsorian,Tiosis,50,Doctoral degree,Female,,50
292,07/04/2019 12:41,07/04/2019 12:49,IP Address,100,496,TRUE,07/04/2019 12:49,R_1IsKyjnqNfzavXN,,,,,34.01950073,-84.31060028,anonymous,EN,Declining,quickly,0,0,2.495,0,Declining,5 (very confident),9.55,18.605,24.004,2,Declining,5 (very confident),11.041,11.041,17.918,1,Declining,5 (very confident),8.354,8.354,10.4,1,Declining,4,I checked the x & y axis and compared,35,10,25,25,20,Increase was the same in both intervals,25,40,20,Crosicol,Can’t say,Tiosis,50,Associate degree in college (2-year),Female,,58
293,07/04/2019 16:54,07/04/2019 17:06,IP Address,100,734,TRUE,07/04/2019 17:06,R_3mZRXzf0KDW1fbp,,,,,28.05079651,-82.4484024,anonymous,EN,Improving,quickly,0,0,2.275,0,Improving,5 (very confident),22.33,22.33,23.648,1,Declining,5 (very confident),6.338,6.338,15.048,1,Declining,5 (very confident),5.068,5.068,10.454,1,Improving,5 (very confident),The number of incidents each year and whether or not they increased or decreased regardless of the order they were listed on the graph.,35,15,25,25,20,Increase was the same in both intervals,24,40,60,They are equal,Nopsorian,Tiosis,5,Associate degree in college (2-year),Male,,45
294,07/04/2019 18:22,07/04/2019 18:33,IP Address,100,648,TRUE,07/04/2019 18:33,R_2VaS4tvesPLfKQ9,,,,,32.71470642,-79.95259857,anonymous,EN,Improving,quickly,0,0,3.037,0,Improving,5 (very confident),5.193,5.193,6.442,1,Declining,4,6.607,6.607,13.718,1,Improving,3,6.345,8.035,11.034,2,Declining,5 (very confident),"I simply looked at the graph to see how the situation was changing.  Considering that In most of the graphs the word 'improving' indicates an increase I used that term to describe a trend of increasing murders in the second graph, but I'm not at all sure that's a situation where the word improving is appropriate, but that is the answer that seemed to be the correct answer considering the responses permitted.",35,15,25,25,21,Increase was the same in both intervals,25,40,20,Crosicol,Apsoriatin,Tiosis,50,Some college but no degree,Female,,49
295,07/04/2019 23:10,07/04/2019 23:15,IP Address,100,291,TRUE,07/04/2019 23:15,R_vNzqaDXhwTV27lf,,,,,34.04139709,-84.50530243,anonymous,EN,Declining,quickly,0,0,1.689,0,Declining,5 (very confident),2.264,2.264,4.096,1,Improving,5 (very confident),3.264,3.264,4.583,1,Declining,5 (very confident),4.987,4.987,6.882,1,Declining,5 (very confident),"I like at the numbers attached to the categories, and whether or not the arrow was increasing or decreasing.",35,10,25,25,20,Increase was the same in both intervals,24,40,60,Crosicol,Nopsorian,Tiosis,5,Associate degree in college (2-year),Male,,25
296,07/04/2019 23:56,08/04/2019 00:11,IP Address,100,883,TRUE,08/04/2019 00:11,R_3ewzpya6csQogiU,,,,,37.97860718,-121.3146973,anonymous,EN,Improving,quickly,0,0,5.072,0,Improving,4,12.942,15.518,18.061,2,Declining,4,22.965,22.965,24.292,1,Neither declining or improving,2,10.538,10.538,11.911,1,Declining,4,The slanting of the line within the graph and if the graph showed an increase or a decrease over time.,35,15,25,10,20,Increase was the same in both intervals,25,40,20,They are equal,They are equal,Tiosis,5,Associate degree in college (2-year),Female,,59
297,08/04/2019 01:00,08/04/2019 01:05,IP Address,100,314,TRUE,08/04/2019 01:05,R_3FOMivTqYSNk14f,,,,,52.35339355,4.908706665,anonymous,EN,Declining,quickly,0,0,1.119,0,Improving,5 (very confident),5.514,5.514,6.158,1,Declining,5 (very confident),4.72,4.72,5.28,1,Declining,5 (very confident),8.484,8.484,8.997,1,Improving,5 (very confident),In just read the graphs and decided if it was a good or bad thing,35,5,25,25,20,From 2000 to 2005,25,40,20,Crosicol,Nopsorian,The increase was equal,5,Bachelor's degree in college (4-year),Female,,30
298,08/04/2019 01:29,08/04/2019 01:42,IP Address,100,776,TRUE,08/04/2019 01:42,R_3e942dvwYwwqso1,,,,,10.80499268,78.68560791,anonymous,EN,Improving,quickly,0,0,4.829,0,Improving,5 (very confident),5.05,5.05,8.273,1,Declining,5 (very confident),10.958,10.958,14.541,1,Improving,5 (very confident),5.214,5.214,8.086,1,Declining,5 (very confident),My decisions were based on the the graph numbers. ,35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Male,,33
299,08/04/2019 01:59,08/04/2019 02:15,IP Address,100,956,TRUE,08/04/2019 02:15,R_1rAMXuPEH3T9Pxv,,,,,40.57530212,-77.00830078,anonymous,EN,Declining,quickly,0,0,1.184,0,Declining,5 (very confident),1.861,10.47,14.577,2,Declining,4,2.656,2.656,6.82,1,Improving,5 (very confident),3.599,3.599,5.762,1,Improving,5 (very confident),"I just tried to read the graph as best as I could.  Focusing on the years and the direction of the line.  I could be wrong, however.",35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Nopsorian,Tiosis,50,Some college but no degree,Male,,33
300,08/04/2019 07:20,08/04/2019 07:28,IP Address,100,503,TRUE,08/04/2019 07:28,R_28V4SCUXq7eWCb7,,,,,43.09550476,-79.04139709,anonymous,EN,Improving,quickly,0,0,1.983,0,Improving,5 (very confident),2.108,2.108,3.796,1,Declining,5 (very confident),5.748,5.748,11.228,1,Declining,5 (very confident),6.318,6.318,8.464,1,Improving,5 (very confident),"Why most of the axis' were backwards, which was pretty confusing, and likely the point. The thing that concerned me the most was whether you wanted to know if the situation was declining, or if the numbers indicated the situation was declining or not. I don't mind being confused about the nature of making the axis' in a non-standard way, but the instructions about it all were a little vague. Aside from that, I based my decisions on what it would be like if the axis' were done in a standard way, and chose from there.",35,5,25,10,20,From 2000 to 2005,25,40,20,They are equal,Nopsorian,Tiosis,5,Some college but no degree,Male,,45
